file	function	option_name	values_seen	branch_evidence_lines	state_mutation	ayanamsa_touchpoint	anchor_id
src/jhora/horoscope/dhasa/graha/ashtottari.py	get_ashtottari_dhasa_bhukthi	divisional_chart_factor	parameter_only	L167,L207	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/ashtottari.py	get_ashtottari_dhasa_bhukthi	include_antardhasa	truthy/falsy	L168,L214	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/ashtottari.py	get_ashtottari_dhasa_bhukthi	seed_star	parameter_only	L169	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/ashtottari.py	get_ashtottari_dhasa_bhukthi	star_position_from_moon	parameter_only	L167,L208	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/ashtottari.py	get_ashtottari_dhasa_bhukthi	use_tribhagi_variation	truthy/falsy	L168,L201	global_mutation	none	DS900
src/jhora/horoscope/dhasa/graha/buddhi_gathi.py	get_dhasa_bhukthi	divisional_chart_factor	parameter_only	L24,L43	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/buddhi_gathi.py	get_dhasa_bhukthi	include_antardhasa	truthy/falsy	L25,L38,L39,L68	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/chathuraaseethi_sama.py	_antardhasa	antardhasa_option	1,3,4,5,6	L61,L62,L64,L66	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/chathuraaseethi_sama.py	_dhasa_start	dhasa_starting_planet	1,const._ascendant_symbol	L73,L80,L82,L84,L87,L90,L93,L96,L99,L104	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/chathuraaseethi_sama.py	_dhasa_start	divisional_chart_factor	parameter_only	L72,L78,L85,L88,L91,L94,L97,L100	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/chathuraaseethi_sama.py	_dhasa_start	seed_star	parameter_only	L73	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/chathuraaseethi_sama.py	_dhasa_start	star_position_from_moon	parameter_only	L72	local_recompute	none	DS900
